ACSM2A
ACSM2B
ACSM3
ACSM4
ACSS2
ACT
ACTA1
ACTA2
ABCB1
ACTBL2
ACTBP2
ACTC1
ACTG1
ACTG2
ACTL6A
ACTL6B
ACTL7A
ACTL9
ACTN1
ACTN2
ACTN3
ACTN4
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR5
ACTR6
ACTR8
ACAN
